Time,Temperature,Dew Point,Humidity,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar
,,,,,,,,,,,
00:04,10.6 ,9.9 ,95 ,SE,6.2 ,6.7 ,"1,005.42",0.00 ,0.00 ,0,0
00:09,10.6 ,9.9 ,95 ,SE,4.6 ,4.7 ,"1,005.42",0.00 ,0.00 ,0,0
00:14,10.6 ,9.9 ,95 ,SE,5.0 ,5.3 ,"1,005.42",0.00 ,0.00 ,0,0
00:19,10.6 ,9.9 ,95 ,SE,4.1 ,4.2 ,"1,005.42",0.00 ,0.00 ,0,0
00:24,10.7 ,10.0 ,95 ,ESE,3.7 ,3.8 ,"1,005.42",0.00 ,0.00 ,0,0
00:29,10.7 ,10.0 ,95 ,East,4.3 ,4.5 ,"1,005.42",0.00 ,0.00 ,0,0
00:34,10.7 ,10.0 ,95 ,ESE,5.1 ,5.3 ,"1,005.42",0.00 ,0.00 ,0,0
00:39,10.7 ,10.0 ,95 ,East,4.6 ,4.8 ,"1,005.42",0.00 ,0.00 ,0,0
00:44,10.7 ,10.0 ,95 ,ESE,4.1 ,4.3 ,"1,005.42",0.00 ,0.00 ,0,0
00:49,10.7 ,9.7 ,94 ,ESE,2.8 ,2.8 ,"1,006.10",0.00 ,0.00 ,0,0
00:54,10.7 ,9.8 ,94 ,East,3.9 ,4.0 ,"1,006.10",0.00 ,0.00 ,0,0
00:59,10.7 ,9.7 ,94 ,ENE,2.5 ,2.5 ,"1,006.10",0.00 ,0.00 ,0,0
01:04,10.7 ,9.8 ,94 ,East,3.1 ,3.1 ,"1,006.10",0.00 ,0.00 ,0,0
01:09,10.7 ,10.0 ,95 ,ESE,2.0 ,2.1 ,"1,005.76",0.00 ,0.00 ,0,0
01:14,10.7 ,10.0 ,95 ,South,1.1 ,1.1 ,"1,005.76",0.00 ,0.00 ,0,0
01:19,10.6 ,9.6 ,94 ,East,4.4 ,4.5 ,"1,005.76",0.00 ,0.00 ,0,0
01:24,10.6 ,9.6 ,94 ,East,3.4 ,3.5 ,"1,005.76",0.00 ,0.00 ,0,0
01:29,10.5 ,9.6 ,94 ,ESE,3.4 ,3.4 ,"1,005.76",0.00 ,0.00 ,0,0
01:34,10.5 ,9.6 ,94 ,SE,3.1 ,3.1 ,"1,005.76",0.00 ,0.00 ,0,0
01:39,10.5 ,9.8 ,95 ,SE,2.4 ,2.4 ,"1,005.42",0.00 ,0.00 ,0,0
01:44,10.5 ,9.8 ,95 ,SE,1.9 ,1.9 ,"1,005.42",0.00 ,0.00 ,0,0
01:49,10.5 ,9.6 ,94 ,SE,0.6 ,0.6 ,"1,005.76",0.00 ,0.00 ,0,0
01:54,10.6 ,9.6 ,94 ,SE,0.4 ,0.4 ,"1,005.76",0.00 ,0.00 ,0,0
